predator,prey,weight
Leggadina forresti,Lepidoptera,10
Leggadina forresti,Panicum decompositum,5
Leggadina forresti,Plectrachne schinzii,5
Leggadina forresti,Rhyncharrhena linearis,5
Leggadina forresti,Thyridolepis multiculmis,5
Leggadina forresti,Triodia longiceps,5
Leggadina forresti,Triodia pungens,5
Leggadina forresti,Yakirra australiensis,5
Leiolopisma metallicum,Araneidae,11
Leiolopisma metallicum,Chilopoda,11
Leiolopisma metallicum,Chortoicetes terminifera,11
Leiolopisma metallicum,Coleoptera,11
Leiolopisma metallicum,Endoxyla cinerea,11
Leiolopisma metallicum,Endoxyla leucomochla,11
Leiolopisma metallicum,Lepidoptera,11
Leiolopisma metallicum,Scorpionida,11
Leiolopisma metallicum,Trigona sp.,12
Leiolopisma trilineatum,Araneidae,11
Leiolopisma trilineatum,Chilopoda,11
Leiolopisma trilineatum,Chortoicetes terminifera,11
Leiolopisma trilineatum,Coleoptera,11
Leiolopisma trilineatum,Endoxyla cinerea,11
Leiolopisma trilineatum,Endoxyla leucomochla,11
Leiolopisma trilineatum,Lepidoptera,11
Leiolopisma trilineatum,Scorpionida,11
Leiolopisma trilineatum,Trigona sp.,12
Lerista bougainvillea,Blattodea,15
Lerista bougainvillea,Coleoptera,40
Lerista bougainvillea,Formicidae,15
Lerista bougainvillea,Heteroptera,15
Lerista bougainvillea,Trigona sp.,15
Lophognatus gilberti,Blattodea,50
Lophognatus gilberti,Formicidae,50
Macropus robustus,Calandrinia polyandra,9
Macropus robustus,Eragrostis eriopoda,15
Macropus robustus,Eragrostis lanipes,15
Macropus robustus,Eragrostis setifolia,15
Macropus robustus,Plectrachne schinzii,4
Macropus robustus,Ptilotus exaltatus,8
Macropus robustus,Ptilotus macrocephalus,8
Macropus robustus,Ptilotus polystachyus,8
Macropus robustus,Sida calyxhymenia,4
Macropus robustus,Thyridolepis multiculmis,4
Macropus robustus,Triodia basedownii,3
Macropus robustus,Triodia longiceps,4
Macropus robustus,Triodia pungens,3
Macropus rufus,Eragrostis eriopoda,10
Macropus rufus,Eragrostis lanipes,10
Macropus rufus,Eragrostis setifolia,10
Macropus rufus,Panicum decompositum,10
Macropus rufus,Plectrachne schinzii,10
Macropus rufus,Ptilotus exaltatus,10
Macropus rufus,Ptilotus macrocephalus,10
Macropus rufus,Ptilotus polystachyus,10
Macropus rufus,Sida calyxhymenia,10
Macropus rufus,Triodia basedownii,3
Macropus rufus,Triodia longiceps,4
Macropus rufus,Triodia pungens,3
Macrotis lagotis,Araneidae,10
Macrotis lagotis,Blattodea,40
Macrotis lagotis,Coleoptera,20
Macrotis lagotis,Formicidae,20
Macrotis lagotis,Orthoptera,10
Melopsittacus undulatus,Acacia acradenia,9
Melopsittacus undulatus,Acacia aneura,9
Melopsittacus undulatus,Acacia coriacea,9
Melopsittacus undulatus,Acacia cowleana,9
Melopsittacus undulatus,Acacia cuthbertsoni,9
Melopsittacus undulatus,Acacia dictyophleba,9
Melopsittacus undulatus,Acacia kempeana,9
Melopsittacus undulatus,Acacia ligulata,9
Melopsittacus undulatus,Acacia pruinocarpa,9
Melopsittacus undulatus,Acacia spondylophylla,9
Melopsittacus undulatus,Acacia tetragonophylla,10
Menetia greyii,Blattodea,16
Menetia greyii,Chilopoda,16
Menetia greyii,Coleoptera,17
Menetia greyii,Formicidae,17
Menetia greyii,Lepidoptera,17
Menetia greyii,Orthoptera,17
Moloch horridus,Camponotus inflatus,10
Moloch horridus,Formicidae,90
Morethia lineoocellatus,Blattodea,16
Morethia lineoocellatus,Chilopoda,16
Morethia lineoocellatus,Coleoptera,17
Morethia lineoocellatus,Formicidae,17
Morethia lineoocellatus,Lepidoptera,17
Morethia lineoocellatus,Orthoptera,17
Notaden nichollsi,Blattodea,65
Notaden nichollsi,Camponotus inflatus,5
Notaden nichollsi,Formicidae,30
Notomys sp.,Araneidae,10
Notomys sp.,Blattodea,10
Notomys sp.,Chilopoda,10
Notomys sp.,Coleoptera,10
Notomys sp.,Eragrostis eriopoda,5
Notomys sp.,Eragrostis lanipes,5
